                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1036,                 4.8005,                 1.7303,                 0.0579,                 0.0748,                0.02883,                0.01633,                  1.887,                 4.0595,                 1.7732,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.9331,                 3.2793,                 1.7194,                0.89617,                 0.1811,                0.21047,                0.11963,                  1.729,                 2.8344,                 1.5819,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 1.6712,                 2.2159,                 1.4391,                0.89154,                0.35039,                0.38311,                0.19231,                 1.6459,                 2.3927,                  1.503,             0.00010695,             0.00010695,             0.00010695
                      4,                 1.7446,                 1.6839,                 1.4529,                0.92914,                0.36614,                0.46803,                0.24494,                 1.5536,                 2.2312,                 1.3898,             0.00012891,             0.00012891,             0.00012891
                      5,                 1.6605,                 1.4986,                 1.3603,                0.94854,                0.41339,                0.57519,                0.28169,                  1.474,                 1.7216,                 1.3015,             0.00014096,             0.00014096,             0.00014096
                      6,                 1.5647,                 1.2469,                 1.2393,                0.48949,                0.60349,                0.58866,                0.28568,                 1.4161,                 1.8373,                 1.2571,             0.00014311,             0.00014311,             0.00014311
                      7,                 1.4917,                 1.0894,                 1.2452,                0.55749,                0.63713,                0.64941,                0.31557,                 1.3812,                 1.7276,                 1.2391,             0.00013536,             0.00013536,             0.00013536
                      8,                 1.4288,                 1.0655,                 1.2077,                0.92377,                0.45412,                0.64609,                0.32546,                 1.3518,                 1.6218,                 1.2292,             0.00011771,             0.00011771,             0.00011771
                      9,                 1.5025,                 1.0535,                 1.2207,                0.94038,                0.46488,                0.68418,                0.35031,                 1.3193,                 1.4038,                 1.2069,             9.0151e-05,             9.0151e-05,             9.0151e-05
                     10,                 1.4251,                0.97027,                 1.1677,                0.79487,                0.51525,                 0.7268,                0.36494,                  1.313,                 1.2879,                 1.2004,             5.2694e-05,             5.2694e-05,             5.2694e-05
